dataset,seed,displacement,protocol,metric,method,n_queries,coverage,conditional_cost
breast_cancer,13,1.0,free,scaled_l2,fixed_support_exact,73,1.0,1.3103136903668997
breast_cancer,13,1.0,free,scaled_l2,native_exact_sparse,73,1.0,1.3103136903668997
breast_cancer,13,1.0,immutable,weighted_l1,metric_projection,73,1.0,1.6399670473624983
breast_cancer,13,1.0,immutable,weighted_l1,metric_repair,73,1.0,1.6399670473624983
breast_cancer,13,1.0,immutable,weighted_l1,fixed_support_exact,73,1.0,1.6399670473624983
breast_cancer,13,1.0,immutable,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,1.0,immutable,scaled_l2,metric_projection,73,1.0,1.3103136903668997
breast_cancer,13,1.0,immutable,scaled_l2,metric_repair,73,1.0,1.3103136903668997
breast_cancer,13,1.0,immutable,scaled_l2,fixed_support_exact,73,1.0,1.3103136903668997
breast_cancer,13,1.0,immutable,scaled_l2,native_exact_sparse,73,1.0,1.3103136903668997
breast_cancer,13,1.0,immutable_top3,weighted_l1,metric_projection,73,0.2876712328767123,0.7018517587196682
breast_cancer,13,1.0,immutable_top3,weighted_l1,metric_repair,73,0.2876712328767123,0.7018517587196682
breast_cancer,13,1.0,immutable_top3,weighted_l1,fixed_support_exact,73,0.2876712328767123,0.7018517587196682
breast_cancer,13,1.0,immutable_top3,weighted_l1,native_exact_sparse,73,1.0,1.6399670473624983
breast_cancer,13,1.0,immutable_top3,scaled_l2,metric_projection,73,0.2876712328767123,0.6984613520895744
breast_cancer,13,1.0,immutable_top3,scaled_l2,metric_repair,73,0.2876712328767123,0.6984613520895744
breast_cancer,13,1.0,immutable_top3,scaled_l2,fixed_support_exact,73,0.2876712328767123,0.6984613520895744
breast_cancer,13,1.0,immutable_top3,scaled_l2,native_exact_sparse,73,1.0,1.3103136903668997
breast_cancer,19,0.0,free,weighted_l1,metric_projection,73,1.0,1.0082337816127802
breast_cancer,19,0.0,free,weighted_l1,metric_repair,73,1.0,1.0082337816127802
breast_cancer,19,0.0,free,weighted_l1,fixed_support_exact,73,1.0,1.0082337816127802
breast_cancer,19,0.0,free,weighted_l1,native_exact_sparse,73,1.0,1.0082337816127802
breast_cancer,19,0.0,free,scaled_l2,metric_projection,73,1.0,0.8930076754047325
breast_cancer,19,0.0,free,scaled_l2,metric_repair,73,1.0,0.8930076754047325
breast_cancer,19,0.0,free,scaled_l2,fixed_support_exact,73,1.0,0.8930076754047325
breast_cancer,19,0.0,free,scaled_l2,native_exact_sparse,73,1.0,0.8930076754047325
breast_cancer,19,0.0,immutable,weighted_l1,metric_projection,73,0.6164383561643836,0.8717314157680126
breast_cancer,19,0.0,immutable,weighted_l1,metric_repair,73,0.6164383561643836,0.8717314157680126
breast_cancer,19,0.0,immutable,weighted_l1,fixed_support_exact,73,1.0,1.3373435617526253
breast_cancer,19,0.0,immutable,weighted_l1,native_exact_sparse,73,1.0,1.3373435617526253
breast_cancer,19,0.0,immutable,scaled_l2,metric_projection,73,0.6986301369863014,0.8464729329267914
breast_cancer,19,0.0,immutable,scaled_l2,metric_repair,73,0.7123287671232876,0.9420788662512769
breast_cancer,19,0.0,immutable,scaled_l2,fixed_support_exact,73,1.0,1.1297510255346601
breast_cancer,19,0.0,immutable,scaled_l2,native_exact_sparse,73,1.0,1.1297510255346601
breast_cancer,19,0.0,immutable_top3,weighted_l1,metric_projection,73,0.0136986301369863,0.3371112429893007
breast_cancer,19,0.0,immutable_top3,weighted_l1,metric_repair,73,0.0547945205479452,1.4107841514388226
breast_cancer,19,0.0,immutable_top3,weighted_l1,fixed_support_exact,73,0.0684931506849315,1.415541750204291
breast_cancer,19,0.0,immutable_top3,weighted_l1,native_exact_sparse,73,1.0,1.3373435617526253
breast_cancer,19,0.0,immutable_top3,scaled_l2,metric_projection,73,0.0136986301369863,0.3371112429893007
breast_cancer,19,0.0,immutable_top3,scaled_l2,metric_repair,73,0.0547945205479452,1.3009737614667556
breast_cancer,19,0.0,immutable_top3,scaled_l2,fixed_support_exact,73,0.0684931506849315,1.415541750204291
breast_cancer,19,0.0,immutable_top3,scaled_l2,native_exact_sparse,73,1.0,1.1297510255346601
breast_cancer,19,1.0,free,weighted_l1,metric_projection,77,1.0,1.1915796319870091
breast_cancer,19,1.0,free,weighted_l1,metric_repair,77,1.0,1.1915796319870091
breast_cancer,19,1.0,free,weighted_l1,fixed_support_exact,77,1.0,1.1915796319870091
breast_cancer,19,1.0,free,weighted_l1,native_exact_sparse,77,1.0,1.1915796319870091
breast_cancer,19,1.0,free,scaled_l2,metric_projection,77,1.0,1.039111652170963
breast_cancer,19,1.0,free,scaled_l2,metric_repair,77,1.0,1.039111652170963
breast_cancer,19,1.0,free,scaled_l2,fixed_support_exact,77,1.0,1.039111652170963
breast_cancer,19,1.0,free,scaled_l2,native_exact_sparse,77,1.0,1.039111652170963
breast_cancer,19,1.0,immutable,weighted_l1,metric_projection,77,0.8441558441558441,1.0283422640318658
breast_cancer,19,1.0,immutable,weighted_l1,metric_repair,77,0.8441558441558441,1.0283422640318658
breast_cancer,19,1.0,immutable,weighted_l1,fixed_support_exact,77,1.0,1.2892595144233199
breast_cancer,19,1.0,immutable,weighted_l1,native_exact_sparse,77,1.0,1.2892595144233199
breast_cancer,19,1.0,immutable,scaled_l2,metric_projection,77,0.8961038961038961,0.9333028132341342
breast_cancer,19,1.0,immutable,scaled_l2,metric_repair,77,0.8961038961038961,0.9333028132341342
breast_cancer,19,1.0,immutable,scaled_l2,fixed_support_exact,77,1.0,1.0924510060608337
breast_cancer,19,1.0,immutable,scaled_l2,native_exact_sparse,77,1.0,1.0924510060608337
breast_cancer,19,1.0,immutable_top3,weighted_l1,metric_projection,77,0.012987012987012988,0.3371112429893007
breast_cancer,19,1.0,immutable_top3,weighted_l1,metric_repair,77,0.05194805194805195,1.4107841514388226
breast_cancer,19,1.0,immutable_top3,weighted_l1,fixed_support_exact,77,0.06493506493506493,1.415541750204291
breast_cancer,19,1.0,immutable_top3,weighted_l1,native_exact_sparse,77,1.0,1.2892595144233199
breast_cancer,19,1.0,immutable_top3,scaled_l2,metric_projection,77,0.012987012987012988,0.3371112429893007
breast_cancer,19,1.0,immutable_top3,scaled_l2,metric_repair,77,0.05194805194805195,1.3009737614667556
breast_cancer,19,1.0,immutable_top3,scaled_l2,fixed_support_exact,77,0.06493506493506493,1.415541750204291
breast_cancer,19,1.0,immutable_top3,scaled_l2,native_exact_sparse,77,1.0,1.0924510060608337
breast_cancer,29,0.0,free,weighted_l1,metric_projection,89,1.0,1.1150423430876677
breast_cancer,29,0.0,free,weighted_l1,metric_repair,89,1.0,1.1150423430876677
breast_cancer,29,0.0,free,weighted_l1,fixed_support_exact,89,1.0,1.1150423430876677
breast_cancer,29,0.0,free,weighted_l1,native_exact_sparse,89,1.0,1.1150423430876677
breast_cancer,29,0.0,free,scaled_l2,metric_projection,89,1.0,0.9227950965720401
breast_cancer,29,0.0,free,scaled_l2,metric_repair,89,1.0,0.9227950965720401
breast_cancer,29,0.0,free,scaled_l2,fixed_support_exact,89,1.0,0.9227950965720401
breast_cancer,29,0.0,free,scaled_l2,native_exact_sparse,89,1.0,0.9227950965720401
breast_cancer,29,0.0,immutable,weighted_l1,metric_projection,89,1.0,1.1150423430876677
breast_cancer,29,0.0,immutable,weighted_l1,metric_repair,89,1.0,1.1150423430876677
breast_cancer,29,0.0,immutable,weighted_l1,fixed_support_exact,89,1.0,1.1150423430876677
breast_cancer,29,0.0,immutable,weighted_l1,native_exact_sparse,89,1.0,1.1150423430876677
breast_cancer,29,0.0,immutable,scaled_l2,metric_projection,89,1.0,0.9227950965720401
breast_cancer,29,0.0,immutable,scaled_l2,metric_repair,89,1.0,0.9227950965720401
breast_cancer,29,0.0,immutable,scaled_l2,fixed_support_exact,89,1.0,0.9227950965720401
breast_cancer,29,0.0,immutable,scaled_l2,native_exact_sparse,89,1.0,0.9227950965720401
breast_cancer,29,0.0,immutable_top3,weighted_l1,metric_projection,89,0.10112359550561797,0.6878656602811488
breast_cancer,29,0.0,immutable_top3,weighted_l1,metric_repair,89,0.19101123595505617,0.6876167481641392
breast_cancer,29,0.0,immutable_top3,weighted_l1,fixed_support_exact,89,0.29213483146067415,0.9351492580592881
breast_cancer,29,0.0,immutable_top3,weighted_l1,native_exact_sparse,89,1.0,1.1150423430876677
breast_cancer,29,0.0,immutable_top3,scaled_l2,metric_projection,89,0.11235955056179775,0.7183500702546304
breast_cancer,29,0.0,immutable_top3,scaled_l2,metric_repair,89,0.20224719101123595,0.671158195741996
breast_cancer,29,0.0,immutable_top3,scaled_l2,fixed_support_exact,89,0.29213483146067415,0.8962236979320076
breast_cancer,29,0.0,immutable_top3,scaled_l2,native_exact_sparse,89,1.0,0.9227950965720401
breast_cancer,29,1.0,free,weighted_l1,metric_projection,89,1.0,1.1150423430876677
breast_cancer,29,1.0,free,weighted_l1,metric_repair,89,1.0,1.1150423430876677
breast_cancer,29,1.0,free,weighted_l1,fixed_support_exact,89,1.0,1.1150423430876677
breast_cancer,29,1.0,free,weighted_l1,native_exact_sparse,89,1.0,1.1150423430876677
breast_cancer,29,1.0,free,scaled_l2,metric_projection,89,1.0,0.9227950965720401
breast_cancer,29,1.0,free,scaled_l2,metric_repair,89,1.0,0.9227950965720401
breast_cancer,29,1.0,free,scaled_l2,fixed_support_exact,89,1.0,0.9227950965720401
breast_cancer,29,1.0,free,scaled_l2,native_exact_sparse,89,1.0,0.9227950965720401
breast_cancer,29,1.0,immutable,weighted_l1,metric_projection,89,1.0,1.1150423430876677
breast_cancer,29,1.0,immutable,weighted_l1,metric_repair,89,1.0,1.1150423430876677
breast_cancer,29,1.0,immutable,weighted_l1,fixed_support_exact,89,1.0,1.1150423430876677
breast_cancer,29,1.0,immutable,weighted_l1,native_exact_sparse,89,1.0,1.1150423430876677
breast_cancer,29,1.0,immutable,scaled_l2,metric_projection,89,1.0,0.9227950965720401
breast_cancer,29,1.0,immutable,scaled_l2,metric_repair,89,1.0,0.9227950965720401
breast_cancer,29,1.0,immutable,scaled_l2,fixed_support_exact,89,1.0,0.9227950965720401
breast_cancer,29,1.0,immutable,scaled_l2,native_exact_sparse,89,1.0,0.9227950965720401
breast_cancer,29,1.0,immutable_top3,weighted_l1,metric_projection,89,0.10112359550561797,0.6878656602811488
breast_cancer,29,1.0,immutable_top3,weighted_l1,metric_repair,89,0.20224719101123595,0.6594639968108882
breast_cancer,29,1.0,immutable_top3,weighted_l1,fixed_support_exact,89,0.29213483146067415,0.8824283697709604
breast_cancer,29,1.0,immutable_top3,weighted_l1,native_exact_sparse,89,1.0,1.1150423430876677
breast_cancer,29,1.0,immutable_top3,scaled_l2,metric_projection,89,0.11235955056179775,0.7183500702546304
breast_cancer,29,1.0,immutable_top3,scaled_l2,metric_repair,89,0.21348314606741572,0.6453248694121264
breast_cancer,29,1.0,immutable_top3,scaled_l2,fixed_support_exact,89,0.29213483146067415,0.8597554602126128
breast_cancer,29,1.0,immutable_top3,scaled_l2,native_exact_sparse,89,1.0,0.9227950965720401
breast_cancer,37,0.0,free,weighted_l1,metric_projection,74,1.0,0.9909745968761559
breast_cancer,37,0.0,free,weighted_l1,metric_repair,74,1.0,0.9909745968761559
breast_cancer,37,0.0,free,weighted_l1,fixed_support_exact,74,1.0,0.9909745968761559
breast_cancer,37,0.0,free,weighted_l1,native_exact_sparse,74,1.0,0.9909745968761559
breast_cancer,37,0.0,free,scaled_l2,metric_projection,74,1.0,0.8461263562089794
breast_cancer,37,0.0,free,scaled_l2,metric_repair,74,1.0,0.8461263562089794
breast_cancer,37,0.0,free,scaled_l2,fixed_support_exact,74,1.0,0.8461263562089794
breast_cancer,37,0.0,free,scaled_l2,native_exact_sparse,74,1.0,0.8461263562089794
breast_cancer,37,0.0,immutable,weighted_l1,metric_projection,74,0.6216216216216216,0.8154870249218477
breast_cancer,37,0.0,immutable,weighted_l1,metric_repair,74,0.6621621621621622,2.8728929411709263
breast_cancer,37,0.0,immutable,weighted_l1,fixed_support_exact,74,1.0,1.4559743424284664
breast_cancer,37,0.0,immutable,weighted_l1,native_exact_sparse,74,1.0,1.4559743424284664
breast_cancer,37,0.0,immutable,scaled_l2,metric_projection,74,0.7567567567567568,0.7712114160286453
breast_cancer,37,0.0,immutable,scaled_l2,metric_repair,74,0.7837837837837838,1.0513390264538214
breast_cancer,37,0.0,immutable,scaled_l2,fixed_support_exact,74,1.0,1.074615378615568
breast_cancer,37,0.0,immutable,scaled_l2,native_exact_sparse,74,1.0,1.074615378615568
breast_cancer,37,0.0,immutable_top3,weighted_l1,metric_projection,74,0.06756756756756757,0.25313330469709816
breast_cancer,37,0.0,immutable_top3,weighted_l1,metric_repair,74,0.06756756756756757,0.25313330469709816
breast_cancer,37,0.0,immutable_top3,weighted_l1,fixed_support_exact,74,0.06756756756756757,0.25313330469709816
breast_cancer,37,0.0,immutable_top3,weighted_l1,native_exact_sparse,74,1.0,1.4559743424284664
breast_cancer,37,0.0,immutable_top3,scaled_l2,metric_projection,74,0.06756756756756757,0.25313330469709816
breast_cancer,37,0.0,immutable_top3,scaled_l2,metric_repair,74,0.06756756756756757,0.25313330469709816
breast_cancer,37,0.0,immutable_top3,scaled_l2,fixed_support_exact,74,0.06756756756756757,0.25313330469709816
breast_cancer,37,0.0,immutable_top3,scaled_l2,native_exact_sparse,74,1.0,1.074615378615568
breast_cancer,37,1.0,free,weighted_l1,metric_projection,78,1.0,1.199964533168304
breast_cancer,37,1.0,free,weighted_l1,metric_repair,78,1.0,1.199964533168304
breast_cancer,37,1.0,free,weighted_l1,fixed_support_exact,78,1.0,1.199964533168304
breast_cancer,37,1.0,free,weighted_l1,native_exact_sparse,78,1.0,1.199964533168304
breast_cancer,37,1.0,free,scaled_l2,metric_projection,78,1.0,0.9767002336877306
breast_cancer,37,1.0,free,scaled_l2,metric_repair,78,1.0,0.9767002336877306
breast_cancer,37,1.0,free,scaled_l2,fixed_support_exact,78,1.0,0.9767002336877306
breast_cancer,37,1.0,free,scaled_l2,native_exact_sparse,78,1.0,0.9767002336877306
breast_cancer,37,1.0,immutable,weighted_l1,metric_projection,78,0.8076923076923077,1.0298400022471212
breast_cancer,37,1.0,immutable,weighted_l1,metric_repair,78,0.8461538461538461,2.120431409920143
breast_cancer,37,1.0,immutable,weighted_l1,fixed_support_exact,78,1.0,1.4167737649902616
breast_cancer,37,1.0,immutable,weighted_l1,native_exact_sparse,78,1.0,1.4167737649902616
breast_cancer,37,1.0,immutable,scaled_l2,metric_projection,78,0.8846153846153846,0.9194787407004693
breast_cancer,37,1.0,immutable,scaled_l2,metric_repair,78,0.9230769230769231,1.1271179024343452
breast_cancer,37,1.0,immutable,scaled_l2,fixed_support_exact,78,1.0,1.0461099544648702
breast_cancer,37,1.0,immutable,scaled_l2,native_exact_sparse,78,1.0,1.0461099544648702
breast_cancer,37,1.0,immutable_top3,weighted_l1,metric_projection,78,0.07692307692307693,0.22167887606558292
breast_cancer,37,1.0,immutable_top3,weighted_l1,metric_repair,78,0.07692307692307693,0.22167887606558292
breast_cancer,37,1.0,immutable_top3,weighted_l1,fixed_support_exact,78,0.07692307692307693,0.22167887606558292
breast_cancer,37,1.0,immutable_top3,weighted_l1,native_exact_sparse,78,1.0,1.4167737649902616
breast_cancer,37,1.0,immutable_top3,scaled_l2,metric_projection,78,0.07692307692307693,0.22167887606558292
breast_cancer,37,1.0,immutable_top3,scaled_l2,metric_repair,78,0.07692307692307693,0.22167887606558292
