dataset,seed,support_rule,draw,n_queries,coverage,mean_cost_valid,mean_changed_valid,sparse_share_leq3
wine_binary,7,feature_importance,0,21,0.09523809523809523,0.9460345117684656,1.0,1.0
wine_binary,13,nearest_positive,0,22,0.0,,,
wine_binary,13,random,0,22,0.13636363636363635,0.5959003632855675,1.0,1.0
wine_binary,13,random,1,22,0.22727272727272727,0.6997133691853609,1.0,1.0
wine_binary,13,random,2,22,0.36363636363636365,0.9104982046529947,1.0,1.0
wine_binary,13,random,3,22,0.22727272727272727,0.6566856506556464,1.0,1.0
wine_binary,13,random,4,22,0.22727272727272727,0.8759223655122226,1.0,1.0
wine_binary,13,feature_importance,0,22,1.0,0.8698686399801784,1.0,1.0
wine_binary,19,nearest_positive,0,22,0.36363636363636365,1.0775388884598673,1.0,1.0
wine_binary,19,random,0,22,0.45454545454545453,1.1924280901817201,1.0,1.0
wine_binary,19,random,1,22,0.2727272727272727,0.8302849610375164,1.0,1.0
wine_binary,19,random,2,22,0.45454545454545453,1.1216858565299568,1.0,1.0
wine_binary,19,random,3,22,0.3181818181818182,1.3963893126976559,1.0,1.0
wine_binary,19,random,4,22,0.22727272727272727,0.9621536964529428,1.0,1.0
wine_binary,19,feature_importance,0,22,1.0,1.0570903802514908,1.0,1.0
wine_binary,29,nearest_positive,0,17,0.0,,,
wine_binary,29,random,0,17,0.0,,,
wine_binary,29,random,1,17,0.0,,,
wine_binary,29,random,2,17,0.0,,,
wine_binary,29,random,3,17,0.0,,,
wine_binary,29,random,4,17,0.0,,,
wine_binary,29,feature_importance,0,17,0.058823529411764705,0.17062208192446077,1.0,1.0
wine_binary,37,nearest_positive,0,25,0.08,0.8564962974332693,1.0,1.0
wine_binary,37,random,0,25,0.08,0.4407700718979273,1.0,1.0
wine_binary,37,random,1,25,0.04,1.0868988241601032,1.0,1.0
wine_binary,37,random,2,25,0.0,,,
wine_binary,37,random,3,25,0.08,0.8564962974332693,1.0,1.0
wine_binary,37,random,4,25,0.08,0.6060587891506951,1.0,1.0
wine_binary,37,feature_importance,0,25,0.16,0.5234144305243111,1.0,1.0
wine_binary,41,nearest_positive,0,19,0.9473684210526315,0.7942933810155188,1.0,1.0
wine_binary,41,random,0,19,0.05263157894736842,1.4844952679020669,1.0,1.0
wine_binary,41,random,1,19,0.42105263157894735,0.569297151308124,1.0,1.0
wine_binary,41,random,2,19,0.3157894736842105,1.056922479671725,1.0,1.0
wine_binary,41,random,3,19,0.3684210526315789,0.7968099345616327,1.0,1.0
wine_binary,41,random,4,19,0.2631578947368421,0.6197412190445465,1.0,1.0
wine_binary,41,feature_importance,0,19,1.0,0.8093802233707988,1.0,1.0
wine_binary,53,nearest_positive,0,28,0.0,,,
wine_binary,53,random,0,28,0.0,,,
wine_binary,53,random,1,28,0.0,,,
wine_binary,53,random,2,28,0.0,,,
wine_binary,53,random,3,28,0.0,,,
wine_binary,53,random,4,28,0.0,,,
wine_binary,53,feature_importance,0,28,0.0,,,
wine_binary,61,nearest_positive,0,21,0.3333333333333333,0.8755115665369152,1.0,1.0
wine_binary,61,random,0,21,0.2857142857142857,0.8002609707080058,1.0,1.0
wine_binary,61,random,1,21,0.23809523809523808,0.6260269830479376,1.0,1.0
wine_binary,61,random,2,21,0.23809523809523808,0.6341308834596546,1.0,1.0
wine_binary,61,random,3,21,0.19047619047619047,1.1294822670806637,1.0,1.0
wine_binary,61,random,4,21,0.3333333333333333,0.6627840082184253,1.0,1.0
wine_binary,61,feature_importance,0,21,1.0,0.7602238321731998,1.0,1.0
wine_binary,73,nearest_positive,0,20,0.2,1.1368509409274894,1.0,1.0
wine_binary,73,random,0,20,0.4,0.538639071569959,1.0,1.0
wine_binary,73,random,1,20,0.3,0.9448935891301282,1.0,1.0
wine_binary,73,random,2,20,0.35,0.632608309733545,1.0,1.0
wine_binary,73,random,3,20,0.3,0.6983277505901796,1.0,1.0
wine_binary,73,random,4,20,0.35,0.7716119498335058,1.0,1.0
wine_binary,73,feature_importance,0,20,1.0,0.7486337726164418,1.0,1.0
wine_binary,89,nearest_positive,0,20,0.15,0.9004770769852716,1.0,1.0
wine_binary,89,random,0,20,0.35,0.7435442260290162,1.0,1.0
wine_binary,89,random,1,20,0.25,0.8096370293313979,1.0,1.0
wine_binary,89,random,2,20,0.15,0.33008687366603,1.0,1.0
wine_binary,89,random,3,20,0.25,0.7874552125752898,1.0,1.0
wine_binary,89,random,4,20,0.25,0.701896700965126,1.0,1.0
wine_binary,89,feature_importance,0,20,1.0,0.6599096717890561,1.0,1.0
credit_default,7,nearest_positive,0,200,0.24,1.1038115143370186,1.3125,1.0
credit_default,7,random,0,200,0.35,0.6814159901168448,1.0857142857142856,1.0
credit_default,7,random,1,200,0.375,0.5833441010281092,1.0933333333333333,1.0
credit_default,7,random,2,200,0.305,0.5006071133244699,1.0327868852459017,1.0
credit_default,7,random,3,200,0.28,0.65622620597242,1.0535714285714286,1.0
credit_default,7,random,4,200,0.295,0.608812409510993,1.0508474576271187,1.0
credit_default,7,feature_importance,0,200,1.0,0.6961623362367338,1.185,1.0
credit_default,13,nearest_positive,0,200,0.455,0.5172688806159486,1.021978021978022,1.0
credit_default,13,random,0,200,0.41,0.7375507192921427,1.0731707317073171,1.0
credit_default,13,random,1,200,0.435,0.5556754730735615,1.0459770114942528,1.0
credit_default,13,random,2,200,0.4,0.6932731948989679,1.125,1.0
credit_default,13,random,3,200,0.505,0.7268852730927452,1.0891089108910892,1.0
credit_default,13,random,4,200,0.36,0.6131850549689365,1.0555555555555556,1.0
credit_default,13,feature_importance,0,200,1.0,0.8560753514872121,1.245,1.0
credit_default,19,nearest_positive,0,200,0.49,0.5538405495875811,1.0,1.0
credit_default,19,random,0,200,0.405,0.45619996299388144,1.0493827160493827,1.0
credit_default,19,random,1,200,0.425,0.5918668669366443,1.0588235294117647,1.0
credit_default,19,random,2,200,0.37,0.5998603472013548,1.054054054054054,1.0
credit_default,19,random,3,200,0.42,0.6830160854565596,1.0476190476190477,1.0
credit_default,19,random,4,200,0.39,0.45556474933823865,1.0128205128205128,1.0
credit_default,19,feature_importance,0,200,0.985,0.7945077741518388,1.233502538071066,1.0
credit_default,29,nearest_positive,0,200,0.135,0.6905004426188467,1.0740740740740742,1.0
credit_default,29,random,0,200,0.345,0.9675456634335518,1.1159420289855073,1.0
credit_default,29,random,1,200,0.31,0.9809704116305027,1.064516129032258,1.0
credit_default,29,random,2,200,0.34,0.804789351265611,1.0735294117647058,1.0
credit_default,29,random,3,200,0.32,0.7316703494371654,1.046875,1.0
credit_default,29,random,4,200,0.315,0.9499952821760611,1.1111111111111112,1.0
credit_default,29,feature_importance,0,200,1.0,0.5612823760563743,1.125,1.0
credit_default,37,nearest_positive,0,200,0.175,0.2579438770466848,1.0285714285714285,1.0
credit_default,37,random,0,200,0.4,0.8545679946077052,1.05,1.0
credit_default,37,random,1,200,0.38,0.7845947417507876,1.0394736842105263,1.0
credit_default,37,random,2,200,0.435,1.0411529984838457,1.0344827586206897,1.0
credit_default,37,random,3,200,0.405,0.9713081908099667,1.0740740740740742,1.0
credit_default,37,random,4,200,0.455,0.8654696992188406,1.021978021978022,1.0
credit_default,37,feature_importance,0,200,1.0,0.6691966421984733,1.135,1.0
credit_default,41,nearest_positive,0,200,0.405,0.6157104179578344,1.0246913580246915,1.0
credit_default,41,random,0,200,0.37,0.8460275263008724,1.0945945945945945,1.0
credit_default,41,random,1,200,0.43,0.632461207083244,1.058139534883721,1.0
credit_default,41,random,2,200,0.385,0.8143040719178976,1.0649350649350648,1.0
credit_default,41,random,3,200,0.34,0.5417972588761836,1.1029411764705883,1.0
credit_default,41,random,4,200,0.415,0.5501015883678019,1.0843373493975903,1.0
credit_default,41,feature_importance,0,200,1.0,0.5159622477499823,1.175,1.0
credit_default,53,nearest_positive,0,200,0.195,0.7573072439310717,1.0256410256410255,1.0
credit_default,53,random,0,200,0.335,0.7976222889510538,1.1343283582089552,1.0
credit_default,53,random,1,200,0.38,0.6216849436775845,1.0789473684210527,1.0
credit_default,53,random,2,200,0.35,0.6065783242076842,1.0857142857142856,1.0
credit_default,53,random,3,200,0.325,0.6794557092547722,1.0461538461538462,1.0
credit_default,53,random,4,200,0.325,0.6382772118965079,1.123076923076923,1.0
credit_default,53,feature_importance,0,200,1.0,0.4917532108984557,1.025,1.0
credit_default,61,nearest_positive,0,200,0.32,0.7019807058290901,1.078125,1.0
credit_default,61,random,0,200,0.365,0.5853492289382625,1.095890410958904,1.0
credit_default,61,random,1,200,0.375,0.5492049423889505,1.0533333333333332,1.0
credit_default,61,random,2,200,0.35,0.5915188462478496,1.0285714285714285,1.0
credit_default,61,random,3,200,0.375,0.6577638348982653,1.0533333333333332,1.0
credit_default,61,random,4,200,0.37,0.6567744049359693,1.1216216216216217,1.0
credit_default,61,feature_importance,0,200,1.0,0.6478839052500703,1.08,1.0
credit_default,73,nearest_positive,0,200,0.33,0.5866604996233824,1.0303030303030303,1.0
credit_default,73,random,0,200,0.445,0.7596041600447154,1.0449438202247192,1.0
credit_default,73,random,1,200,0.46,0.9352049103764756,1.065217391304348,1.0
credit_default,73,random,2,200,0.41,0.7479415398304982,1.0609756097560976,1.0
credit_default,73,random,3,200,0.435,0.7208947840517081,1.0229885057471264,1.0
credit_default,73,random,4,200,0.475,0.661156707758115,1.0842105263157895,1.0
credit_default,73,feature_importance,0,200,1.0,0.5835423482108066,1.295,1.0
credit_default,89,nearest_positive,0,200,0.375,1.0041026172024115,1.0133333333333334,1.0
credit_default,89,random,0,200,0.365,0.9731651310720069,1.0547945205479452,1.0
credit_default,89,random,1,200,0.355,0.9707901179381483,1.1126760563380282,1.0
credit_default,89,random,2,200,0.39,0.9149396578310185,1.0512820512820513,1.0
credit_default,89,random,3,200,0.345,0.868329944863207,1.0724637681159421,1.0
credit_default,89,random,4,200,0.35,0.9436148274472028,1.0571428571428572,1.0
credit_default,89,feature_importance,0,200,1.0,0.6273861753527654,1.19,1.0
adult_income,7,nearest_positive,0,200,1.0,0.8151046925333193,1.04,1.0
adult_income,7,random,0,200,1.0,1.1346404713791036,1.085,1.0
adult_income,7,random,1,200,1.0,1.2841806381041245,1.14,1.0
adult_income,7,random,2,200,1.0,1.2041545607325015,1.06,1.0
adult_income,7,random,3,200,1.0,1.2610467583140883,1.12,1.0
adult_income,7,random,4,200,1.0,1.2932454466230456,1.105,1.0
adult_income,7,feature_importance,0,200,1.0,0.785243492983788,1.005,1.0
adult_income,13,nearest_positive,0,200,1.0,0.6643313544004116,1.0,1.0
adult_income,13,random,0,200,1.0,1.0647963208111868,1.07,1.0
adult_income,13,random,1,200,1.0,1.2039761244981744,1.075,1.0
adult_income,13,random,2,200,1.0,1.1025817071117847,1.07,1.0
adult_income,13,random,3,200,1.0,1.0640614777037443,1.085,1.0
adult_income,13,random,4,200,1.0,1.144916541543232,1.09,1.0
adult_income,13,feature_importance,0,200,1.0,0.6608526269798111,1.0,1.0
adult_income,19,nearest_positive,0,200,1.0,0.5735944663626151,1.035,1.0
adult_income,19,random,0,200,1.0,0.9354130122625226,1.1,1.0
adult_income,19,random,1,200,1.0,0.9576427332325055,1.13,1.0
adult_income,19,random,2,200,1.0,0.9996685779494743,1.11,1.0
adult_income,19,random,3,200,1.0,1.119185857512054,1.15,1.0
adult_income,19,random,4,200,1.0,0.9825385202239627,1.135,1.0
adult_income,19,feature_importance,0,200,1.0,0.596933224555389,1.005,1.0
adult_income,29,nearest_positive,0,200,0.96,0.6348830485855491,1.0260416666666667,1.0
adult_income,29,random,0,200,0.9,0.7991981676136543,1.1333333333333333,1.0
adult_income,29,random,1,200,0.935,0.7789567183184545,1.1016042780748663,1.0
adult_income,29,random,2,200,0.91,0.8485365371370978,1.1813186813186813,1.0
adult_income,29,random,3,200,0.92,0.7373257976408989,1.0923913043478262,1.0
adult_income,29,random,4,200,0.905,0.8464678479671404,1.149171270718232,1.0
adult_income,29,feature_importance,0,200,1.0,0.6747762403952144,1.0,1.0
adult_income,37,nearest_positive,0,200,0.98,0.614600384437587,1.0408163265306123,1.0
adult_income,37,random,0,200,0.9,0.8100414273169197,1.1055555555555556,1.0
adult_income,37,random,1,200,0.94,0.7770882927683332,1.0957446808510638,1.0
adult_income,37,random,2,200,0.93,0.8180062936385533,1.1344086021505377,1.0
adult_income,37,random,3,200,0.95,0.856287778797683,1.131578947368421,1.0
adult_income,37,random,4,200,0.915,0.8154602006262813,1.1202185792349726,1.0
adult_income,37,feature_importance,0,200,1.0,0.6388931254609558,1.0,1.0
adult_income,41,nearest_positive,0,200,1.0,0.6149476845288349,1.02,1.0
adult_income,41,random,0,200,1.0,1.2262161050725848,1.1,1.0
adult_income,41,random,1,200,1.0,1.327928347465371,1.15,1.0
adult_income,41,random,2,200,1.0,1.375755082667599,1.14,1.0
adult_income,41,random,3,200,1.0,1.4291356140320437,1.155,1.0
adult_income,41,random,4,200,1.0,1.1806111846949987,1.095,1.0
adult_income,41,feature_importance,0,200,1.0,0.5807888562757896,1.005,1.0
adult_income,53,nearest_positive,0,200,0.975,0.6000443067317143,1.035897435897436,1.0
adult_income,53,random,0,200,0.93,0.6574285532376382,1.064516129032258,1.0
adult_income,53,random,1,200,0.92,0.753051726839346,1.125,1.0
adult_income,53,random,2,200,0.935,0.6674162940104553,1.0748663101604279,1.0
adult_income,53,random,3,200,0.935,0.8389594816296458,1.1176470588235294,1.0
adult_income,53,random,4,200,0.925,0.6914822178134302,1.0864864864864865,1.0
adult_income,53,feature_importance,0,200,1.0,0.5905944025871761,1.0,1.0
adult_income,61,nearest_positive,0,200,0.98,0.7647789385218204,1.0357142857142858,1.0
adult_income,61,random,0,200,0.925,0.9674854888488978,1.1189189189189188,1.0
adult_income,61,random,1,200,0.935,0.8415606340883139,1.0641711229946524,1.0
